Nombre	Clase	Codigo	Particip|en el indice	Retorno|del cierre|en 1 semana|(de 09Oct20|hasta 16Oct20)|en moneda orig|no aj p/var cap	Cierre|09Oct20|no aj p/var cap|en moneda orig	Cierre|16Oct20|no aj p/var cap|en moneda orig	Capitaliz Bursat|de la empresa|09Oct20|en moneda orig|en millones	Capitaliz Bursat|de la empresa|16Oct20|en moneda orig|en millones	Mín de la serie|del cierre|en 1 año|(de 17Oct19|hasta 16Oct20)|en moneda orig|no aj p/var cap	Mín de la serie|del cierre|en 1 año|(de 17Oct19|hasta 16Oct20)|en moneda orig|no aj p/var cap	Máx de la serie|del cierre|en 1 año|(de 17Oct19|hasta 16Oct20)|en moneda orig|no aj p/var cap	Máx de la serie|del cierre|en 1 año|(de 17Oct19|hasta 16Oct20)|en moneda orig|no aj p/var cap	Retorno|del cierre|de 31Dic19|hasta 16Oct20|en moneda orig|no aj p/var cap	Retorno|del cierre|en 1 año|(de 16Oct19|hasta 16Oct20)|en moneda orig|no aj p/var cap
Alfa	A	"ALFAA"	1.7100000381	2.27	14.11	14.43	69268.97	70839.92	"31/03/2020"	6.4	"17/10/2019"	17.68	-7.97	-18.01
Alsea	*	"ALSEA"	0.49000000954	-0.72	22.2	22.04	18490.82	18357.55	"14/04/2020"	14.11	"02/12/2019"	53.67	-55.77	-55.26
America Movil	L	"AMXL"	13.68999958	-2.88	13.88	13.48	922482.47	896180.13	"16/04/2020"	12.82	"04/03/2020"	16.79	-10.73	-11.49
Arca Continental	*	"AC"	1.7699999809	0.76	93.7	94.41	165313.33	166565.97	"23/04/2020"	88.9	"20/02/2020"	111.45	-5.57	-13.44
Asureste	B	"ASURB"	2.0599999428	-3.41	248.56	240.09	74568.00	72027.00	"03/04/2020"	206.18	"15/01/2020"	393.25	-32.19	-21.33
Banco Del Bajio	O	"BBAJIOO"	0.55000001192	-0.61	18	17.89	21418.77	21287.88	"15/09/2020"	14.91	"19/12/2019"	32.51	-43.51	-43.15
Bimbo	A	"BIMBOA"	2.4800000191	-1.51	41.82	41.19	189673.94	186816.58	"09/03/2020"	26.95	"19/08/2020"	44.86	19.63	17.96
Bolsa Mexicana Val	A	"BOLSAA"	0.93000000715	-6.74	49.43	46.1	29311.45	27336.79	"24/03/2020"	28.69	"01/10/2020"	51.95	11.51	24.63
Cementos Chihuahua	*	"GCC"	0.75	0.83	107.1	107.99	35470.96	35765.73	"24/04/2020"	62.32	"11/08/2020"	108.72	7.07	3.70
Cemex	CPO	"CEMEXCPO"	5.6599998474	1.16	8.59	8.69	126521.86	127994.76	"03/04/2020"	4.21	"15/10/2020"	8.77	22.74	10.56
Coca Cola Femsa	UBL	"KOFUBL"	1.9500000477	-4.74	90.94	86.63	191049.69	181995.10	"15/09/2020"	86.26	"21/02/2020"	121.02	-24.59	-27.48
Cuervo	*	"CUERVO"	1.0800000429	-1.09	46.67	46.16	167600.20	165768.70	"23/03/2020"	27.5	"27/07/2020"	46.78	31.29	55.58
Elektra Gpo	*	"ELEKTRA"	2.9800000191	-0.43	1201.21	1196.07	274394.57	273220.43	"14/09/2020"	1173.19	"16/04/2020"	1407.9	-13.85	-14.14
